대학명,모집단위,유형,전형명,기준,컷70,연도,모집인원27,경쟁률26
가야대,간호학과,교과,학생부교과(가야인재전형),70%컷(최종),3.5,2026,110,6
가야대,물리치료학과,교과,학생부교과(가야인재전형),70%컷(최종),3.88,2026,41,6.62
가야대,사회복지상담학과,교과,학생부교과(일반전형),70%컷(최종),7,2026,39,1.03
가야대,치유웰니스학과,교과,학생부교과(일반전형),70%컷(최종),6,2026,19,1.21
가야대,특수교육과,교과,학생부교과(일반전형),70%컷(최종),5.13,2026,25,2.04
가야대,간호학과,교과,학생부교과(일반전형),70%컷(최종),3.13,2026,16,11.41
가야대,물리치료학과,교과,학생부교과(일반전형),70%컷(최종),2.75,2026,2,18.25
가야대,방사선학과,교과,학생부교과(일반전형),70%컷(최종),3.88,2026,44,7.61
가야대,스포츠재활복지학과,교과,학생부교과(일반전형),70%컷(최종),4.5,2026,39,4.95
가야대,간호학과,교과,학생부교과(지역인재전형),70%컷(최종),3.63,2026,18,7.11
가야대,물리치료학과,교과,학생부교과(지역인재전형),70%컷(최종),4.38,2026,8,5.7
가천대(글로벌),AI인문대학,논술,논술,90%컷(최종),5.84,2025,73,45.2
가천대(글로벌),경영학과,논술,논술,90%컷(최종),6.21,2025,40,58.73
가천대(글로벌),경제학과,논술,논술,90%컷(최종),5.36,2025,15,43.8
가천대(글로벌),관광경영학과,논술,논술,90%컷(최종),5.94,2025,14,43.38
가천대(글로벌),미디어커뮤니케이션학과,논술,논술,90%컷(최종),6.87,2025,8,83.75
가천대(글로벌),법과대학,논술,논술,90%컷(최종),5.66,2025,46,42.16
가천대(글로벌),사회복지학과,논술,논술,90%컷(최종),5.98,2025,12,40.33
가천대(글로벌),심리학과,논술,논술,90%컷(최종),5.2,2025,10,54.9
가천대(글로벌),유아교육학과,논술,논술,90%컷(최종),5.71,2025,15,40
가천대(글로벌),의료산업경영학과,논술,논술,90%컷(최종),5.96,2025,13,41.15
가천대(글로벌),패션산업학과,논술,논술,90%컷(최종),4.43,2025,12,44.42
가천대(글로벌),회계세무학과,논술,논술,90%컷(최종),6.27,2025,16,42.06
가천대(글로벌),건설환경공학과,논술,논술,90%컷(최종),5.93,2025,14,26.43
가천대(글로벌),건축학부,논술,논술,90%컷(최종),5.93,2025,20,52.4
가천대(글로벌),금융·빅데이터학부,논술,논술,90%컷(최종),5.98,2025,26,29.08
가천대(글로벌),기계공학부,논술,논술,90%컷(최종),6.18,2025,56,32.45
가천대(글로벌),도시계획·조경학부,논술,논술,90%컷(최종),5.51,2025,21,28.43
가천대(글로벌),바이오나노학과,논술,논술,90%컷(최종),4.62,2025,14,29.5
가천대(글로벌),반도체대학,논술,논술,90%컷(최종),5.42,2025,73,33.37
가천대(글로벌),반도체물리학과,논술,논술,90%컷(최종),5.73,2025,13,25.77
가천대(글로벌),생명과학과,논술,논술,90%컷(최종),5.15,2025,15,39
가천대(글로벌),스마트시티학과,논술,논술,90%컷(최종),6.31,2025,18,29.56
가천대(글로벌),스마트팩토리학과,논술,논술,90%컷(최종),5.69,2025,18,28.63
가천대(글로벌),시스템반도체학과,논술,논술,90%컷(최종),7.04,2025,16,28.5
가천대(글로벌),식품생명공학과,논술,논술,90%컷(최종),5.45,2025,14,33.79
가천대(글로벌),식품영양학과,논술,논술,90%컷(최종),5.41,2025,12,33.33
가천대(글로벌),신소재공학과,논술,논술,90%컷(최종),6.28,2025,14,35.57
가천대(글로벌),운동재활학과,논술,논술,90%컷(최종),5.01,2025,13,30.54
가천대(글로벌),응용통계학과,논술,논술,90%컷(최종),5.92,2025,13,41.38
가천대(글로벌),의공학과,논술,논술,90%컷(최종),6.06,2025,14,26.14
가천대(글로벌),인공지능학과,논술,논술,90%컷(최종),5.8,2025,46,33.6
가천대(글로벌),전기공학과,논술,논술,90%컷(최종),5.25,2025,20,30.75
가천대(글로벌),정보보호학과,논술,논술,90%컷(최종),6.08,2025,18,28.17
가천대(글로벌),컴퓨터공학과,논술,논술,90%컷(최종),6.18,2025,31,33.68
가천대(글로벌),화공생명배터리공학부,논술,논술,90%컷(최종),5.26,2025,59,29.65
가천대(글로벌),화학과,논술,논술,90%컷(최종),6.05,2025,14,27.64
가천대(글로벌),유아교육학과,교과,학생부교과(지역균형),70%컷(최종),3.65,2026,6,27.33
가천대(글로벌),[유형1] 자유전공학부,교과,학생부교과(지역균형),70%컷(최종),3.18,2026,321,15.95
가천대(글로벌),AI인문대학,교과,학생부교과(학생부우수자),70%컷(최종),2.9,2026,22,14.59
가천대(글로벌),경영학과,교과,학생부교과(학생부우수자),70%컷(최종),2.52,2026,15,14.33
가천대(글로벌),경제학과,교과,학생부교과(학생부우수자),70%컷(최종),2.8,2026,8,11
가천대(글로벌),관광경영학과,교과,학생부교과(학생부우수자),70%컷(최종),3.04,2026,7,11.86
가천대(글로벌),미디어커뮤니케이션학과,교과,학생부교과(학생부우수자),70%컷(최종),2.66,2026,5,13.6
가천대(글로벌),법과대학,교과,학생부교과(학생부우수자),70%컷(최종),2.8,2026,17,12.82
가천대(글로벌),사회복지학과,교과,학생부교과(학생부우수자),70%컷(최종),2.94,2026,6,25.5
가천대(글로벌),심리학과,교과,학생부교과(학생부우수자),70%컷(최종),2.39,2026,6,11.67
가천대(글로벌),유아교육학과,교과,학생부교과(학생부우수자),70%컷(최종),3.15,2026,6,14.17
가천대(글로벌),의료산업경영학과,교과,학생부교과(학생부우수자),70%컷(최종),2.74,2026,7,13.43
가천대(글로벌),패션산업학과,교과,학생부교과(학생부우수자),70%컷(최종),2.75,2026,6,16.67
가천대(글로벌),회계세무학과,교과,학생부교과(학생부우수자),70%컷(최종),2.67,2026,7,12.43
가천대(글로벌),건설환경공학과,교과,학생부교과(학생부우수자),70%컷(최종),2.86,2026,7,10.57
가천대(글로벌),건축공학과,교과,학생부교과(학생부우수자),70%컷(최종),3.17,2026,6,14.17
