대학명,모집단위,계열,전형,백분위,충원,모집인원,경쟁률
가톨릭관동대,간호학과,자연과학계열,일반전형,76,31,20,7.9
가톨릭관동대,의학과,의학계열,일반전형,97,83,16,18.3
가톨릭관동대,의학과,의학계열,지역인재,99,2,2,19.5
가톨릭대,인문사회계열,자연과학계열,일반전형2,93,31,57,7.44
가톨릭대,자유전공학부,공학계열,일반전형2,93,14,38,5.63
가톨릭대,자연공학계열,자연과학계열,일반전형2,93,47,37,7.92
가톨릭대,바이오메디컬소프트웨어학과,공학계열,일반전형1,84,4,5,12
가톨릭대,AI의공학과,공학계열,일반전형1,83,11,21,5.05
가톨릭대,바이오로직스공학부,공학계열,일반전형1,82,28,42,4.02
가톨릭대,데이터사이언스학과,공학계열,일반전형1,83,5,13,6.23
가톨릭대,인문사회계열,자연과학계열,일반전형1,81,64,119,5.59
가톨릭대,특수교육과,인문・사회계열,일반전형1,81,2,12,8
가톨릭대,의생명과학과,자연과학계열,일반전형1,87,7,12,4.25
가톨릭대,인공지능학과,공학계열,일반전형1,83,12,16,5.25
가톨릭대,약학과,자연과학계열,일반전형1,96,17,10,7.4
가톨릭대,자유전공학부,공학계열,일반전형1,83,53,101,4.71
가톨릭대,자연공학계열,자연과학계열,일반전형1,83,136,90,7.07
강원대(삼척),공학대학 자유전공학과,공학계열,일반전형,66,38,19,9
강원대(삼척),인문사회대학 자유전공학과,인문・사회계열,일반전형,75,4,5,21
강원대(삼척),첨단AI공학과,공학계열,일반전형,56,90,89,6.08
강원대(삼척),안경광학과,자연과학계열,일반전형,56,5,6,8.83
강원대(삼척),경제금융학과,인문・사회계열,일반전형,43,11,5,10.6
강원대(삼척),관광학과,인문・사회계열,일반전형,47,4,6,8.33
강원대(삼척),공공행정학과,인문・사회계열,일반전형,71,7,4,10.25
강원대(삼척),자유전공학부(자연계열),자연과학계열,일반전형,69,21,16,10.44
강원대(삼척),자유전공학부(인문계열),인문・사회계열,일반전형,62,9,14,10.07
강원대(삼척),영어과,인문・사회계열,일반전형,65,3,7,9.42
강원대(삼척),도시건축학과(5년제),공학계열,일반전형,60,8,4,11.5
강원대(삼척),미래토목건설공학과,공학계열,일반전형,60,16,7,6.28
강원대(삼척),기계공학과,공학계열,일반전형,60,30,23,6.6
강원대(삼척),작업치료학과,자연과학계열,일반전형,41,5,7,5.42
강원대(삼척),물리치료학과,자연과학계열,일반전형,54,,4,9.75
강원대(삼척),방사선학과,자연과학계열,일반전형,53,2,5,7.6
강원대(삼척),간호학과,자연과학계열,일반전형,73,10,11,7.09
강원대(삼척),치위생학과,자연과학계열,일반전형,58,3,6,8.83
강원대(삼척),응급구조학과,자연과학계열,일반전형,74,1,4,6.75
강원대(삼척),식품영양학과,자연과학계열,일반전형,62,10,4,13.5
