code,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,area1,area2,area3,area4,ratio1,ratio2,ratio3,ratio4
가야대1,,,,,,,,,,국수영_1,국수영_2,탐(1),,44.44,44.44,11.11,
가천대1,98,95,92,86,80,60,50,40,30,국,수,영,탐(2),25,30,20,25
가천대2,98,95,92,86,80,60,50,40,30,국수영_1,국수영_2,국수영_3,탐(1),35,25,20,20
가천대3,98,95,92,86,80,60,50,40,30,국,영,,,50,50,,
가천대4,,,,,,,,,,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,50,30,20,
가톨릭관동대1,,,,,,,,,,국수탐(2)_1,국수탐(2)_2,영,,50,50,,
가톨릭관동대2,,,,,,,,,,국,수,영,탐(2),25,37.5,,37.5
가톨릭관동대3,,,,,,,,,,국,수,영,탐(2),28.57,42.86,,28.57
가톨릭관동대4,,,,,,,,,,국수탐(2)_1,국수탐(2)_2,영,,50,50,,
가톨릭관동대5,,,,,,,,,,국수탐(2)_1,국수탐(2)_2,영,,50,50,,
가톨릭꽃동네대1,95,84.5,74.5,64.5,54.5,44.5,34.5,24.5,9.5,국수_1,영,탐(2),,30,30,40,
가톨릭대1,,,,,,,,,,국,수,탐(2),,30,40,30,
가톨릭대2,,,,,,,,,,국,수,탐(2),,30,40,30,
가톨릭대3,,,,,,,,,,국,수,탐(2),,30,40,30,
가톨릭대4,100,97.5,95,92.5,90,87.5,85,80,70,국,수,영,탐(1),30,30,20,20
가톨릭대5,,,,,,,,,,국수_1,탐(1),,,50,50,,
감리교신학대1,95,85,75,65,55,45,35,25,15,국,영,탐(1),,40,40,20,
강남대1,100,95,90,80,70,50,30,10,0,국,수,영,탐(1),35,25,20,20
강남대2,100,95,90,80,70,50,30,10,0,국,수,영,탐(1),25,35,20,20
강남대3,100,95,90,80,70,50,30,10,0,국수_1,국수_2,영,탐(1),40,20,20,20
강릉원주대1,100,95,90,85,77.5,70,62.5,55,40,국,수,영,탐(2),20,35,20,25
강릉원주대2,100,97,94,91,81,78,75,72,0,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
강릉원주대3,100,97,94,91,81,78,75,72,0,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
강서대1,,,,,,,,,,국,수,탐(1),,40,30,30,
강서대2,,,,,,,,,,국,수,탐(1),,30,40,30,
