지역,대학명,전형명,계열,모집인원,단계,전형방법,면접시기,1단계발표,면접일자,면접방법,수능최저,세부수능최저,학업역량,진로역량,공동체역량,평가요소,인재상
대구,DGIST,일반,이공계특성화/군외대학,115,일괄,서류100(반도체공학15명),,,,,,없음,33.3,33.3,33.3,학업 및 탐구역량+사회적 역량,"창의, 도전, 협력, 배려(4C)"
대구,DGIST,학교장추천,이공계특성화/군외대학,77,일괄,서류100(반도체공학12명)/(고교별 2명),,,,,,없음,33.3,33.3,33.3,학업 및 탐구역량+사회적 역량,"창의, 도전, 협력, 배려(4C)"
광주,GIST,학교장추천,이공계특성화/군외대학,40,단계,"1단계(5배수) : 서류 100(학,자,추)
2단계 : 면접(1단계 합격자)
최종 : 서류 60 + 면접 40(고교별 2명)",수능전,10.23.(목),10.30.(목)~31.(금),서류,,없음,33.3,33.3,33.3,"학업역량, 이공계 분야의 교과·비교과 경험과 성취수준, 내적성향, 창의성, 잠재력, 진학의지, 리더십 및 협동심",창의적인 생각으로 의사소통하고 서로 협력하여 문제를 해결하는 과학인재양성이라는 목표에 부합하는 학생(3C1P)
광주,GIST,일반,이공계특성화/군외대학,125,단계,"1단계(6배수) : 서류 100(학,자,추)
2단계 : 면접(1단계 합격자)
최종 : 서류 60 + 면접 40",수능전,10.23.(목),10.30.(목)~31.(금),서류,,없음,33.3,33.3,33.3,"학업역량, 이공계 분야의 교과·비교과 경험과 성취수준, 내적성향, 창의성, 잠재력, 진학의지, 리더십 및 협동심",창의적인 생각으로 의사소통하고 서로 협력하여 문제를 해결하는 과학인재양성이라는 목표에 부합하는 학생(3C1P)
대전,KAIST,창의도전,이공계특성화/군외대학,200,일괄,"서류 100(학,자,추-2부)",,,,,,없음,33.3,33.3,33.3,"학업성취도, 학교생활충실도 및 인성, 도전•창의•배려, 발전가능성 등을 고려힌 종합평가","과학기술분야에 전문성을 갖추고, 지식탐구가 즐거운 자기주도적 학생, 새로운 길을 개척하려는 열정과 도전정신을 가진 학생, 높은 윤리의식과 협력정신으로 국가와 사회, 인류에 기여하려는 학생"
대전,KAIST,반도체시스템인재전형Ⅰ,이공계특성화/군외대학,30,일괄,"서류 100(학,자,추-2부)",,,,,,없음,33.3,33.3,33.3,"학업성취도, 학교생활충실도 및 인성, 도전•창의•배려, 발전가능성 등을 고려힌 종합평가","과학기술분야에 전문성을 갖추고, 지식탐구가 즐거운 자기주도적 학생, 새로운 길을 개척하려는 열정과 도전정신을 가진 학생, 높은 윤리의식과 협력정신으로 국가와 사회, 인류에 기여하려는 학생"
대전,KAIST,학교장추천,이공계특성화/군외대학,85,일괄,"서류 100(학,자,추-2부,고교별2명)",,,,,,없음,33.3,33.3,33.3,"학업성취도, 학교생활충실도 및 인성, 도전•창의•배려, 발전가능성 등을 고려힌 종합평가","과학기술분야에 전문성을 갖추고, 지식탐구가 즐거운 자기주도적 학생, 새로운 길을 개척하려는 열정과 도전정신을 가진 학생, 높은 윤리의식과 협력정신으로 국가와 사회, 인류에 기여하려는 학생"
대전,KAIST,일반,이공계특성화/군외대학,350,단계,"1단계(2.5배수) : 서류 100(학,자,추-1부)
2단계 : 면접
최종 : 1단계 40+면접 60",수능후,11.14.(금),11.27.(목),제시문/서류,,없음,33.3,33.3,33.3,"학업성취도, 학교생활충실도 및 인성, 도전•창의•배려, 발전가능성 등을 고려힌 종합평가","과학기술분야에 전문성을 갖추고, 지식탐구가 즐거운 자기주도적 학생, 새로운 길을 개척하려는 열정과 도전정신을 가진 학생, 높은 윤리의식과 협력정신으로 국가와 사회, 인류에 기여하려는 학생"
대전,KAIST,반도체시스템인재전형Ⅱ,이공계특성화/군외대학,70,단계,"1단계(2.5배수) : 서류 100(학,자,추-1부)
2단계 : 면접
최종 : 1단계 40+면접 60",수능후,11.14.(금),11.27.(목),제시문/서류,,없음,33.3,33.3,33.3,"학업성취도, 학교생활충실도 및 인성, 도전•창의•배려, 발전가능성 등을 고려힌 종합평가","과학기술분야에 전문성을 갖추고, 지식탐구가 즐거운 자기주도적 학생, 새로운 길을 개척하려는 열정과 도전정신을 가진 학생, 높은 윤리의식과 협력정신으로 국가와 사회, 인류에 기여하려는 학생"
전남,KENTECH,일반,이공계특성화/군외대학,90,단계,"1단계(5배수) : 서류 100
2단계 : 1단계50 + 면접50",수능후,11.14.(금),11.24.(월),서류,,없음,33.3,33.3,33.3,가치평가+역량평가+지원적합성,"인류 공영을 위한 미래 에너지 개발에 도전하는 탁월한 연구 역량과 기업가 정신, 글로벌 시민의식을 갖춘 인재"
