대학명,모집단위,유형,전형명
DGIST(대구경북과학기술원),기초학부,종합,학생부종합(과학인재전형)
DGIST(대구경북과학기술원),AI대학,종합,학생부종합(일반전형)
DGIST(대구경북과학기술원),반도체공학과,종합,학생부종합(일반전형)(정원외)
GIST(광주과학기술원),기초교육학부,종합,학생부종합(일반)
KAIST(한국과학기술원),반도체시스템공학과,종합,학생부종합(반도체시스템인재전형I)
KAIST(한국과학기술원),새내기과정학부,종합,학생부종합(일반)
KENTECH(한국에너지공과대학교),에너지공학부,종합,학생부종합(일반전형)
POSTECH(포항공과대학교),반도체공학과,종합,학생부종합(반도체공학인재전형)(정원외)
POSTECH(포항공과대학교),[유형1] 단일계열(무은재학부),종합,학생부종합(일반전형Ⅰ)
UNIST(울산과학기술원),계열무관,종합,학생부종합(그릿인재전형)
UNIST(울산과학기술원),경영계열,종합,학생부종합(일반전형)
UNIST(울산과학기술원),이공계열(무학과),종합,학생부종합(일반전형)
UNIST(울산과학기술원),이공계열(반도체공학과),종합,학생부종합(일반전형)(정원외)
가야대,자유전공학부,교과,학생부교과(일반전형)
가천대(글로벌),AI인문대학,논술,논술
가천대(글로벌),경영학과,논술,논술
가천대(글로벌),경제학과,논술,논술
가천대(글로벌),관광경영학과,논술,논술
가천대(글로벌),미디어커뮤니케이션학과,논술,논술
가천대(글로벌),법과대학,논술,논술
가천대(글로벌),사회복지학과,논술,논술
가천대(글로벌),심리학과,논술,논술
가천대(글로벌),유아교육학과,논술,논술
가천대(글로벌),의료산업경영학과,논술,논술
가천대(글로벌),패션산업학과,논술,논술
가천대(글로벌),회계세무학과,논술,논술
가천대(글로벌),건설환경공학과,논술,논술
가천대(글로벌),건축공학과,논술,논술
가천대(글로벌),건축학부,논술,논술
가천대(글로벌),금융·빅데이터학부,논술,논술
가천대(글로벌),기계공학부,논술,논술
가천대(글로벌),도시계획·조경학부,논술,논술
가천대(글로벌),바이오나노학과,논술,논술
가천대(글로벌),반도체대학,논술,논술
가천대(글로벌),반도체물리학과,논술,논술
가천대(글로벌),생명과학과,논술,논술
가천대(글로벌),스마트시티학과,논술,논술
가천대(글로벌),스마트팩토리학과,논술,논술
가천대(글로벌),시스템반도체학과,논술,논술
가천대(글로벌),식품생명공학과,논술,논술
가천대(글로벌),식품영양학과,논술,논술
가천대(글로벌),신소재공학과,논술,논술
가천대(글로벌),운동재활학과,논술,논술
가천대(글로벌),응용통계학과,논술,논술
가천대(글로벌),의공학과,논술,논술
가천대(글로벌),인공지능시스템학과,논술,논술
가천대(글로벌),인공지능학과,논술,논술
가천대(글로벌),전기공학과,논술,논술
가천대(글로벌),정보보호학과,논술,논술
가천대(글로벌),컴퓨터공학과,논술,논술
가천대(글로벌),한의예과,논술,논술
가천대(글로벌),화공생명배터리공학부,논술,논술
가천대(글로벌),화학과,논술,논술
가천대(글로벌),인공지능시스템학과,교과,학생부교과(학생부우수자)
가천대(글로벌),인공지능시스템학과,종합,학생부종합(가천바람개비)
가천대(글로벌),게임·영상학과,종합,학생부종합(조기취업형 계약학과)
가천대(글로벌),미래자동차학과,종합,학생부종합(조기취업형 계약학과)
가천대(글로벌),바이오의료기기학과,종합,학생부종합(조기취업형 계약학과)
가천대(글로벌),반도체·디스플레이학과,종합,학생부종합(조기취업형 계약학과)
가천대(글로벌),반도체설계학과,종합,학생부종합(조기취업형 계약학과)
가천대(메디컬),간호학과,논술,논술
가천대(메디컬),물리치료학과,논술,논술
가천대(메디컬),바이오로직스학과,논술,논술
가천대(메디컬),방사선학과,논술,논술
가천대(메디컬),약학과,논술,논술
가천대(메디컬),응급구조학과,논술,논술
가천대(메디컬),의예과,논술,논술
가천대(메디컬),치위생학과,논술,논술
가톨릭관동대,[유형1] 자율전공학부,종합,학생부종합(일반전형)
가톨릭대(성심),경영학과,논술,논술(논술전형)
가톨릭대(성심),경제학과,논술,논술(논술전형)
가톨릭대(성심),국사학과,논술,논술(논술전형)
가톨릭대(성심),국어국문학과,논술,논술(논술전형)
가톨릭대(성심),국제학부,논술,논술(논술전형)
가톨릭대(성심),법학과,논술,논술(논술전형)
