대학명,유형,전형명,1단계발표,논술일정,면접일정,합격발표,고사시기
DGIST(대구경북과학기술원),종합,학생부종합(과학인재전형),,,11.25(수)~11.27(금),12.18(금),수능후
DGIST(대구경북과학기술원),종합,학생부종합(일반전형),,,,12.18(금),
DGIST(대구경북과학기술원),종합,학생부종합(일반전형)(정원외),,,,12.18(금),
DGIST(대구경북과학기술원),종합,학생부종합(학교장추천전형),,,,12.18(금),
DGIST(대구경북과학기술원),종합,학생부종합(학교장추천전형)(정원외),,,,12.18(금),
GIST(광주과학기술원),종합,학생부종합(일반),,,,12월 18일(금)까지,추후 공지
GIST(광주과학기술원),종합,학생부종합(학교장추천),,,,12월 18일(금)까지,추후 공지
KAIST(한국과학기술원),종합,학생부종합(반도체시스템인재전형I),,,,12월 18일(금)까지,
KAIST(한국과학기술원),종합,학생부종합(반도체시스템인재전형II),,,,12월 18일(금)까지,추후 공지
KAIST(한국과학기술원),종합,학생부종합(일반),,,,12월 18일(금)까지,추후 공지
KAIST(한국과학기술원),종합,학생부종합(창의도전),,,,12월 18일(금)까지,
KAIST(한국과학기술원),종합,학생부종합(특기자),,,,12월 18일(금)까지,추후 공지
KAIST(한국과학기술원),종합,학생부종합(학교장추천),,,,12월 18일(금)까지,
KENTECH(한국에너지공과대학교),종합,학생부종합(일반전형),11.20(금),,11.30(월),12.11(금),수능후
POSTECH(포항공과대학교),종합,학생부종합(반도체공학인재전형)(정원외),11.20(금),,11.29(일),12.18(금),수능후
POSTECH(포항공과대학교),종합,학생부종합(일반전형Ⅰ),11.20(금),,11.28(토),12.18(금),수능후
POSTECH(포항공과대학교),종합,학생부종합(일반전형Ⅱ),11.20(금),,11.29(일),12.18(금),수능후
UNIST(울산과학기술원),종합,학생부종합(그릿인재전형),11.04(수),,11.08(일),12.18(금),수능전
UNIST(울산과학기술원),종합,학생부종합(일반전형),,,,12.18(금),
UNIST(울산과학기술원),종합,학생부종합(일반전형)(정원외),,,,12.18(금),
UNIST(울산과학기술원),종합,학생부종합(탐구우수전형),11.04(수),,11.07(토),12.18(금),수능전
UNIST(울산과학기술원),종합,학생부종합(지역인재전형),,,,12.18(금),
가야대,교과,학생부교과(가야인재전형),,,,10.30(금),
가야대,교과,학생부교과(일반전형),,,,10.30(금),
가야대,교과,학생부교과(지역인재전형),,,,10.30(금),
가천대(글로벌),논술,논술,,11.29(일),,12.18(금),수능후
가천대(글로벌),교과,학생부교과(지역균형),11.12(목),,12.05(토)~12.07(월),12.18(금),수능후
가천대(글로벌),교과,학생부교과(학생부우수자),,,,12.18(금),
가천대(글로벌),종합,학생부종합(가천바람개비),10.29(목),,10.31(토)~11.08(일),11.14(토),수능전
가천대(글로벌),종합,학생부종합(조기취업형 계약학과),10.29(목),,11.04(수)~11.05(목),11.14(토),수능전
가천대(메디컬),논술,논술,,11.29(일),,12.18(금),수능후
가천대(메디컬),교과,학생부교과(지역균형),11.12(목),,12.05(토)~12.07(월),12.18(금),수능후
가천대(메디컬),교과,학생부교과(학생부우수자),,,,12.18(금),
가천대(메디컬),종합,학생부종합(가천바람개비),10.29(목),,10.31(토)~11.08(일),11.14(토),수능전
가천대(메디컬),종합,학생부종합(가천의약학),12.09(수),,12.14(월)~12.15(화),12.18(금),수능후
가천대(메디컬),교과,학생부교과(지역의사선발),,,,12.18(금),
가톨릭관동대,교과,학생부교과(일반전형),,,,11.02(월),
가톨릭관동대,종합,학생부종합(일반전형),,,,11.02(월),
가톨릭관동대,교과,학생부교과(지역인재전형),,,,11.02(월),
가톨릭관동대,종합,학생부종합(지역의사선발전형),,,,12.17(목),
가톨릭관동대,종합,학생부종합(지역인재전형),,,,11.02(월),
가톨릭꽃동네대,교과,학생부교과(가톨릭지도자추천전형),,,10.23(금)~10.24(토),11.11(수),수능전
가톨릭꽃동네대,교과,학생부교과(일반학생전형),,,,11.11(수),
가톨릭꽃동네대,교과,학생부교과(휴먼리더면접전형),,,10.23(금)~10.24(토),11.11(수),수능전
가톨릭꽃동네대,교과,학생부교과(지역인재전형),,,10.23(금)~10.24(토),11.11(수),수능전
가톨릭대(성신),종합,학생부종합(잠재능력우수자면접전형),10.23(금),,10.30(금),11.27(금)~12.18(금),
가톨릭대(성심),논술,논술(논술전형),,10.11(일),,11.27(금)~12.18(금),수능전
가톨릭대(성심),교과,학생부교과(지역균형전형),,,,11.27(금)~12.18(금),
가톨릭대(성심),종합,학생부종합(잠재능력우수자면접전형),11.27(금),,12.5(토),11.27(금)~12.18(금),
가톨릭대(성심),종합,학생부종합(잠재능력우수자서류전형),,,,11.27(금)~12.18(금),
가톨릭대(성심),종합,학생부종합(학교장추천전형),11.27(금),,,11.27(금)~12.18(금),
가톨릭대(성의),논술,논술(논술전형),,10.11(일),,11.27(금)~12.18(금),수능전
가톨릭대(성의),교과,학생부교과(지역균형전형),,,,11.27(금)~12.18(금),
가톨릭대(성의),종합,학생부종합(학교장추천전형),11.27(금),,12.5(토),11.27(금)~12.18(금),
감리교신학대,교과,학생부교과(검정고시출신자),,,10.17(토),11.06(금),수능전
감리교신학대,교과,학생부교과(일반전형),,,10.16(금),11.06(금),수능전
감리교신학대,교과,학생부교과(추천자전형(담임교역자/교목/교사)),,,10.17(토),11.06(금),수능전
강남대,논술,논술(논술전형),,11.28(토),,12.18(금),수능후
강남대,교과,학생부교과(지역균형전형),,,,12.18(금),
강남대,종합,학생부종합(학교생활우수자전형Ⅰ),,,,12.18(금),
강남대,종합,학생부종합(학교생활우수자전형Ⅱ),10.30(금),,11.07(토)~11.08(일),12.18(금),수능전
강서대,교과,학생부교과(교과우수자전형),,,,11.13(금),
강서대,교과,학생부교과(일반학생전형),,,10.02(금),11.13(금),수능전
강원대,교과,학생부교과(일반교과전형),,,,12.18(금),
강원대,종합,학생부종합(미래인재면접전형),11.20(금),,11.27(금)~11.28(토),12.18(금),수능후
강원대,종합,학생부종합(미래인재서류전형),,,,12.18(금),
강원대,종합,학생부종합(영농창업인재전형),11.20(금),,11.27(금)~11.28(토),12.18(금),수능후
강원대,교과,학생부교과(지역교과전형),,,,12.18(금),
강원대,교과,학생부교과(지역의사선발전형),,,,12.18(금),
강원대,종합,학생부종합(지역인재면접전형),11.20(금),,11.27(금)~11.28(토),12.18(금),수능후
강원대(강릉),교과,학생부교과(일반교과Ⅰ전형),,,,12.18(금),
강원대(강릉),종합,학생부종합(미래인재면접Ⅰ전형),11.20(금),,11.27(금),12.18(금),수능후
강원대(강릉),종합,학생부종합(미래인재서류Ⅰ전형),,,,12.18(금),
강원대(강릉),교과,학생부교과(지역교과Ⅰ전형),,,,12.18(금),
강원대(강릉),종합,학생부종합(지역인재서류전형),,,,12.18(금),
강원대(도계),교과,학생부교과(일반교과전형),,,,12.18(금),
강원대(도계),종합,학생부종합(미래인재면접전형),11.20(금),,11.27(금)~11.28(토),12.18(금),수능후
강원대(도계),종합,학생부종합(미래인재서류전형),,,,12.18(금),
강원대(도계),교과,학생부교과(지역교과전형),,,,12.18(금),
강원대(삼척),교과,학생부교과(일반교과전형),,,,12.18(금),
강원대(삼척),종합,학생부종합(미래인재서류전형),,,,12.18(금),
강원대(삼척),종합,학생부종합(학·석사통합전형),,,,12.18(금),
강원대(삼척),교과,학생부교과(지역교과전형),,,,12.18(금),
강원대(원주),교과,학생부교과(일반교과Ⅰ전형),,,,12.18(금),
강원대(원주),종합,학생부종합(미래인재서류Ⅰ전형),,,,12.18(금),
강원대(원주),교과,학생부교과(지역교과Ⅰ전형),,,,12.18(금),
강원대(원주),종합,학생부종합(지역인재서류전형),,,,12.18(금),
건국대,논술,논술(KU논술우수자),,11.21(토),,12.18(금),수능후
건국대,교과,학생부교과(KU지역균형),,,,12.18(금),
건국대,종합,학생부종합(KU자기추천),11.20(금),,12.05(토)~12.06(일),12.18(금),수능후
건국대(글로컬),교과,학생부교과(교과우수),,,,12.17(목),
건국대(글로컬),종합,학생부종합(Cogito자기추천),11.19(목),,11.28(토)~11.29(일),12.17(목),수능후
건국대(글로컬),교과,학생부교과(지역의사제(광역권)),11.19(목),,11.28(토),12.17(목),수능후
건국대(글로컬),교과,학생부교과(지역의사제(진료권-제천권)),11.19(목),,11.28(토),12.17(목),수능후
건국대(글로컬),교과,학생부교과(지역의사제(진료권-청주권)),11.19(목),,11.28(토),12.17(목),수능후
건국대(글로컬),교과,학생부교과(지역의사제(진료권-충주권)),11.19(목),,11.28(토),12.17(목),수능후
건국대(글로컬),교과,학생부교과(지역인재(충북)),11.19(목),,11.28(토),12.17(목),수능후
건국대(글로컬),교과,학생부교과(지역인재),,,,12.17(목),
건국대(글로컬),종합,학생부종합(지역인재),,,,12.17(목),
건양대,교과,학생부교과(군사학전형),09.28(월),,10.15(목)~10.16(금),12.16(수),수능전
건양대,교과,학생부교과(일반[교과]),,,,10.26(월),
건양대,교과,학생부교과(일반[최저]),,,,12.16(수),
건양대,종합,학생부종합(학생부종합),,,,11.11(수),
건양대,교과,학생부교과(지역[교과]),,,,10.26(월),
건양대,교과,학생부교과(지역[면접]),10.12(월),,10.17(토),10.26(월),수능전
건양대,교과,학생부교과(지역[최저]),,,,12.16(수),
건양대,종합,학생부종합(지역의사),11.13(금),,11.28(토),12.16(수),수능후
경국대,교과,학생부교과(선수출신자전형),,,,11.06(금),
경국대,교과,학생부교과(일반학생전형),,,,11.06(금),
경국대,종합,학생부종합(바른인재전형),,,,11.06(금),
경국대,교과,학생부교과(지역인재전형),,,,11.06(금),
경기대,논술,논술(논술우수자전형),,11.27(금),,12.18(금),수능후
경기대,교과,학생부교과(교과성적우수자전형),,,,12.18(금),
경기대,교과,학생부교과(학교장추천전형),,,,11.20(금),
경기대,종합,학생부종합(KGU학생부종합전형),11.20(금),,11.29(일)~12.06(일),12.18(금),수능후
경기대,종합,학생부종합(SW우수자전형),11.20(금),,11.29(일),12.18(금),수능후
경기대(서울),논술,논술(논술우수자전형),,11.27(금),,12.18(금),수능후
경기대(서울),교과,학생부교과(교과성적우수자전형),,,,12.18(금),
경기대(서울),교과,학생부교과(학교장추천전형),,,,11.20(금),
경기대(서울),종합,학생부종합(KGU학생부종합전형),11.20(금),,11.29(일)~12.06(일),12.18(금),수능후
